Filename,Description,Tags,sourceLink,comments
img-001.jpeg,"Yearly surface temperature compared to the 20th-century average from 1880–2021. Blue bars indicate cooler-than-average years; red bars show warmer-than-average years. NOAA Climate.gov graph, based on data from the National Centers for Environmental Information.","climate, bars, temporal, continuous, time series, date ","https://www.climate.gov/news-features/understanding-climate/climate-change-global-temperature#:~:text=June%2028%2C%202022-,Highlights,based%20on%20NOAA's%20temperature%20data",
img-002.png,"GLOBAL LAND-OCEAN TEMPERATURE INDEX
Data source: NASA's Goddard Institute for Space Studies (GISS). Credit: NASA/GISS","climate, line, points, date, continous, NASA, temperature, land",https://climate.nasa.gov/vital-signs/global-temperature/,
img-003.jpeg,"Much To Lose for U.S. Farmers
If a trade war breaks out, American farmers are likely to pay a hefty price. In recent months the Trump administration has announced plans to impose tariffs on steel and aluminum from Canada, Mexico, and the EU, and on $50 billion or more in products from China. The four major trading partners—who purchased a combined $74.5 billion in U.S. agricultural goods in 2017—have vowed retaliatory tariffs of their own, including on U.S. ag exports. That could add to farmers’ woes: Thanks largely to lower grain prices, U.S. net farm income has plunged by over 50% since 2013.","farmers, agriculture, exports, geographic, sankey",https://www.pinterest.com/pin/277534395771466951/,
img-004.png,"Annual change in forest area, 2015
Net change in forest area measures forest expansion (either through afforestation or natural expansion) minus
deforestation.","Afforestation, date, nominal, ordinal, geomap, geographical, colors",https://ourworldindata.org/afforestation,
img-005.png,"The Range Bar chart is a bar chart that displays bars for each dimension (category), ranging between a start value and an end value. For example, Range Bar charts can be used to represent the beginning and end of operations/tasks along a time axis, similar to a Gantt chart, for tracking project schedule","bars, range, discrete",https://www.dundas.com/support/learning/documentation/data-visualizations/how-to/using-a-range-bar-chart-and-visualizing-a-project-schedule-gantt-like-chart,
img-006.jpeg,Size of diamond carats vs price.,"points, colors, continuous, discrete,",https://www.timothydeitz.com/post/scatterplots/,
img-007.jpg,"Lollipop chart with 15 best (with lowest p-value) Gene Ontology (GO) terms for every GO aspect (Biological Process-BP, Cellular Component-CC, Molecular Function-MF), sorted due to descending negative logarithmic adjusted p-value of enrichment analysis. Numbers in circles represent the number of differentially expressed genes matched to a specific term.","line, points, ontology, nominal, continous",https://www.researchgate.net/figure/Lollipop-chart-with-15-best-with-lowest-p-value-Gene-Ontology-GO-terms-for-every-GO_fig5_342191750,
img-008.png,Share of vegetable oil land use and production by crop,"bars, annotations, diverging, nominal, continous",https://ourworldindata.org/palm-oil,
img-009.jpg,The GISTEMP climate spiral 1880-2021. This version is in The GISTEMP climate spiral 1880-2021.,"climate, spiral, bespoke, date, continous, NASA",https://svs.gsfc.nasa.gov/4975,
img-010.png,Global forest loss: deforestation vs forest degradation,"bars, annotations, stacked, colors, nominal, continous, forest",https://ourworldindata.org/deforestation,
"img-011.jpg","Disparities in food insecurity by income. Population experiencing moderate or severe food insecurity (%), by income group","points, lines, colors, range, annotations, nominal, discrete",https://datatopics.worldbank.org/sdgatlas/goal-2-zero-hunger/,
img-012.png,Visualizing mean temperatures in Pittsburg in the year 2016,"date, continous, temperature, color, density plot, area",https://towardsdatascience.com/pgh-weather-data-plot-and-code-19d8e8b670f,
